,Tweets,Sentiment,compound_score,Negative_percentage,Neutral_precentage,Positive_percentage,Negative_score,Neutral_score,Positive_score
7838,:: holy kraut. I canNOT stay up this late. But the book is done and in the author`s in box.  Tucking in with kitty-boys now. Nighty-night.,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7839," Ok that`s not true! Plus, you`re insulting me saying that I`m insulting you! I`ve been trying to cheer you up. ButÃ¯Â¿Â½nadaÃ¯Â¿Â½",negative,-0.5881,30.2,51.9,17.8,0.302,0.519,0.178
7840, hey there! your web URL looks good,positive,0.4926,0.0,65.3,34.699999999999996,0.0,0.653,0.347
7841," - I`m hoping these pills will do something, cuz I`m gonna go nuts",positive,0.128,14.299999999999999,68.30000000000001,17.4,0.143,0.683,0.174
7842, Or your mobile doesn`t like me,positive,0.3612,0.0,66.7,33.300000000000004,0.0,0.667,0.333
7843,Pissed at you   http://myloc.me/21CU,negative,-0.6369,58.3,41.699999999999996,0.0,0.583,0.417,0.0
7844," i saw this 6 week diet that was no sugar, no rice, no wheat, no potatoes, as much protein as you want. So i just did no sugar.",positive,0.1441,13.200000000000001,65.9,20.9,0.132,0.659,0.209
7845,  Have fun! Wish your mums a happy mother`s day for us!,positive,0.8829,0.0,43.8,56.2,0.0,0.438,0.562
7846, yes`ma... for an after party too after the show next week.,positive,0.4019,0.0,78.7,21.3,0.0,0.787,0.213
7847,havent been on in awhile.  no point anyways,negative,-0.296,23.9,76.1,0.0,0.239,0.761,0.0
7848,Just got home from the hospital.... i have another clot in my leg,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7849,I am dying to hangout on a Friday afternoon...,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7850," hi there, nice to meet you.  I am new to twitter and I guess you are too?",positive,0.4215,0.0,85.1,14.899999999999999,0.0,0.851,0.149
7851, Not us as far as I know  hee hee. We`re thinking a few more years first .,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7852,"may,1st success for lucas first police contact after neighborhood cruising with eggs, cream, bumf, shaving foam. love my son he`s a hero",positive,0.91,0.0,62.3,37.7,0.0,0.623,0.377
7853,Ouch just burned myself making soup for nico...,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7854,i`m hungry but can`t eat anything right now because my tongue hurts so bad.,negative,-0.9079,46.400000000000006,53.6,0.0,0.464,0.536,0.0
7855,"Playing with the munchkin today, talking cakes and getting ready for a yard sale tomorrow. Not looking forward to that",positive,0.5106,0.0,80.7,19.3,0.0,0.807,0.193
7856,Tweeten Out  Tix deals for NKOTB 5/28 Was $43 NOW *$38 http://tinyurl.com/NKOTBTweetenTixsDeal <-or other SEAT Prices /NKOTB Dates,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7857,RIP leonardo. You were a great mini fiddler crab,positive,0.6249,0.0,66.10000000000001,33.900000000000006,0.0,0.661,0.339
7858, : yes she got all lovey with him&he returned the love&1thing led2 another&  also  wants2 know y ur mad at her,negative,-0.128,12.9,76.3,10.8,0.129,0.763,0.108
7859, hahaha! i have a secret door to the real batcave,positive,0.5983,0.0,69.8,30.2,0.0,0.698,0.302
7860,it`S freezing and raining here,negative,-0.1027,25.900000000000002,74.1,0.0,0.259,0.741,0.0
7861,  I`m bad with understanding there things! You should know this!,negative,-0.6229,31.2,68.8,0.0,0.312,0.688,0.0
7862, PLEASE come to Minneapolis/St. Paul area!!!! I looked on your schedule but I don`t see anything close anytime soon.,positive,0.4913,0.0,85.0,15.0,0.0,0.85,0.15
7863,thinks its annoying when i keep getting twitter error messages from my mobile,negative,-0.6597,32.9,67.10000000000001,0.0,0.329,0.671,0.0
7864, that is why I drive a (teeny tiny) honda civic  http://myloc.me/FRy,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7865,is listening to Jello Biafra at work.,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7866,work work work,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7867," I did my best, it is Sunday after all",positive,0.6369,0.0,65.60000000000001,34.4,0.0,0.656,0.344
7868,i`m so tired,negative,-0.4927,61.5,38.5,0.0,0.615,0.385,0.0
7869,No free ice cream though,negative,-0.4023,40.300000000000004,59.699999999999996,0.0,0.403,0.597,0.0
7870, Well I asked you a few days ago and you said money was the only thing holding you back Saturday or something,positive,0.2732,0.0,90.9,9.1,0.0,0.909,0.091
7871,Im so tired. And its so gloomy  what happeened ro summer?,negative,-0.6496,37.1,62.9,0.0,0.371,0.629,0.0
7872," Let`s hope and pray, we go a wiser way! :  Let`s hope and pray, we go a wiser way!  http://bit.ly/TzxqN",positive,0.9244,0.0,47.599999999999994,52.400000000000006,0.0,0.476,0.524
7873,Ive finished 4th year!!! Argh Uni is going soooooo quick,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7874, I`ve given the $19.99 question more thought. U may be right. One host provides HD quality to all viewers? Maybe not.,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7875, lol cute.  BTW Happy Mother`s Day lady,positive,0.8591,0.0,29.599999999999998,70.39999999999999,0.0,0.296,0.704
7876,I want some grape juice.,positive,0.0772,0.0,75.5,24.5,0.0,0.755,0.245
7877,sooo cloooseee,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7878,Great find   http://amanita-design.net/samorost-1/,positive,0.6249,0.0,32.800000000000004,67.2,0.0,0.328,0.672
7879,"'Bad words are a crutch, they lead to tattoos and peircings!'  Hahahaha!",negative,-0.6229,27.1,72.89999999999999,0.0,0.271,0.729,0.0
7880,jazzy we should be in vegas w A team,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7881, Damnit. Sorry to hear dude,negative,-0.5719,61.0,39.0,0.0,0.61,0.39,0.0
7882, ha ha  thank you!,positive,0.7644,0.0,11.600000000000001,88.4,0.0,0.116,0.884
7883,Back from hospital. Doc says I`ll live,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7884, Looking for a new SMS sending solution? http://promotion.itagg.com Get Ã¯Â¿Â½6 FREE SMS with every iTAGG!,positive,0.7667,0.0,66.2,33.800000000000004,0.0,0.662,0.338
7885,"Wish we had a garden so we could have a bbq tonight...  might set up a lounge bbq type thing, that`ll work. #fridayfirehazzard",positive,0.4019,0.0,89.1,10.9,0.0,0.891,0.109
7886,"Eat Sleep Draw!: Part of my Neuroanatomy take-home test.  After this, IÃ¯Â¿Â½m...: Part of my Neuro.. http://bit.ly/fXs3L",neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7887, How`s the head this morning?,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7888, beating heat with tea?  Try some masala chaas,negative,-0.4588,30.0,70.0,0.0,0.3,0.7,0.0
7889,officially misses Quark.  huhuhu! i had no heart hand partner and no one to dance with tonight! come home so... http://plurk.com/p/x2k1z,negative,-0.8651,38.6,61.4,0.0,0.386,0.614,0.0
7890,_UK Argh Twitter didnt post my replies and tweets for ages  Aint up to much just enjoying the sun!,positive,0.5707,0.0,83.0,17.0,0.0,0.83,0.17
7891,  oh man that sucks hardcore! haha good luck finishing up recording,positive,0.7712,13.4,37.4,49.2,0.134,0.374,0.492
7892, god bless u and I hope the rest of your weekend is joyfull,positive,0.7783,0.0,56.2,43.8,0.0,0.562,0.438
7893,Through to quaterfinals of charity football tournament. My penalty save sent us through,positive,0.4588,15.8,52.6,31.6,0.158,0.526,0.316
7894,_w T`was not an interview in so much as it was a private chat,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7895,"btw. ear is getting better! its about time! finally - i say goodnight twitter world, (even though y`all are already asleep). xoxo",positive,0.8168,0.0,72.8,27.200000000000003,0.0,0.728,0.272
7896,This is my 201th update,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7897,ROFL.. okay I dont know. but Kristin still isnt here,positive,0.4882,0.0,65.8,34.2,0.0,0.658,0.342
7898, I had to work and missed it    Shannon could barely contain herself.  She had an amazingly good time,positive,0.2484,10.299999999999999,74.8,14.899999999999999,0.103,0.748,0.149
7899," And the 1600th tweet goes to you because w/o you, I`d have no one to talk to at 3am in the morning! lol <3",positive,0.5848,7.5,71.89999999999999,20.5,0.075,0.719,0.205
7900,is playing around && having fun with little kids right now  hahahahaha,positive,0.6249,0.0,66.2,33.800000000000004,0.0,0.662,0.338
7901, You`re welcome...,positive,0.4588,0.0,25.0,75.0,0.0,0.25,0.75
7902, would love to talk to you but i live in England so unfair,negative,-0.5976,28.7,57.599999999999994,13.600000000000001,0.287,0.576,0.136
7903, im fine. but a bit tired  im glad that its weekend now.,positive,0.1406,21.099999999999998,49.3,29.599999999999998,0.211,0.493,0.296
7904,"well, having looked at my bruv`s exam timetable and french oral exam I feel very fortunate  now to, erm, digest my morning revision...",positive,0.6478,0.0,79.9,20.1,0.0,0.799,0.201
7905,On our way to take photos at the park,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7906,  #amtarot Thank you so much!,positive,0.4199,0.0,58.9,41.099999999999994,0.0,0.589,0.411
7907, that`s a mess  I`ll look for it next week,negative,-0.3612,23.799999999999997,76.2,0.0,0.238,0.762,0.0
7908,"loves GOSSIP GIRL Episode 23, The Wrath of Con",positive,0.3109,18.5,53.300000000000004,28.199999999999996,0.185,0.533,0.282
7909,I believe a man died in a car wreck today just right down the road.  It happened at 12 and at 2 he was still in the car.,negative,-0.7579,20.0,80.0,0.0,0.2,0.8,0.0
7910,"imissu, come back home now honey",neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7911, Sure thing!,positive,0.3802,0.0,27.800000000000004,72.2,0.0,0.278,0.722
7912, still sad about Samantha Who?,negative,-0.4767,43.7,56.3,0.0,0.437,0.563,0.0
7913,omg i am in so much pain  ouchies,negative,-0.5542,33.800000000000004,66.2,0.0,0.338,0.662,0.0
7914,off to pick up my daughters who appear to be picking up an unhealthy liking for primark...feel like a bad parent,negative,-0.4019,23.7,58.4,17.9,0.237,0.584,0.179
7915,2 hours after teleconference. but can`t go back to sleep. got some work to do. sigh sigh,positive,0.0772,0.0,86.7,13.3,0.0,0.867,0.133
7916,this is my movie weekend!! i`ve watched 5 movies so far,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7917,Is coming to the end of his first shift  6.30 local,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7918, Maybe JD can help you out there I don`t know though  But I will ask!,positive,0.2828,0.0,86.7,13.3,0.0,0.867,0.133
7919," Actually, I`m supposed to do that w/ my dad + cousin, My cousin is in trouble though, so we never get together",negative,-0.4019,11.4,88.6,0.0,0.114,0.886,0.0
7920,Is having a BBQ today!,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7921," Oh, okay. Every so often I get this random taste of blood in my mouth that makes me go 'eww, blood'.  Haha.",positive,0.5994,0.0,80.30000000000001,19.7,0.0,0.803,0.197
7922, thanks for finding the amusing rubiks pictures tonight. making my evening via  ...,positive,0.6705,0.0,66.7,33.300000000000004,0.0,0.667,0.333
7923,OMG. Today felt like the last day of school! it`s horrible!,negative,-0.3786,26.200000000000003,57.8,16.0,0.262,0.578,0.16
7924, that is sickening... Just shoot at will? Smh... Prayers for his family...,negative,-0.7964,47.4,52.6,0.0,0.474,0.526,0.0
7925,_are_fire Hii,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7926," yeah it made a great noise, and tripped the house circuit breaker. Good Times. $200 worth of parts too",positive,0.8779,0.0,57.49999999999999,42.5,0.0,0.575,0.425
7927, yeah back to work  I get out at 3:30 so it`s not that bad,positive,0.6187,0.0,70.39999999999999,29.599999999999998,0.0,0.704,0.296
7928,Wanted to buy Amber Bensons death`s daughter today and no where had it,negative,-0.296,15.5,84.5,0.0,0.155,0.845,0.0
7929," lol, I haven`t made anything yet, I`ve just spread all my supplies out over the dining room table",positive,0.4215,0.0,85.9,14.099999999999998,0.0,0.859,0.141
7930,I think I just found my purse soulmate. But its not in my budget,positive,0.3506,0.0,84.1,15.9,0.0,0.841,0.159
7931,Happy Bank Holiday,positive,0.7506,0.0,13.5,86.5,0.0,0.135,0.865
7932,Livin on ur own iznt nice at all. I miss my mum,positive,0.296,11.1,69.39999999999999,19.400000000000002,0.111,0.694,0.194
7933,Today is my Mother`s birthday- Happy Birthday & I love you! She is an angel whom has helped me so much during this time of my life,positive,0.8478,0.0,75.3,24.7,0.0,0.753,0.247
7934,Awaiting to watch lfctv @ 10am  liverpool vs newcastle game from yesterday!,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7935," LOL it`s not the army it`s starfleet, rules are meant to be broken to get the job done. That`s why he gets the medal",positive,0.5473,10.100000000000001,68.30000000000001,21.6,0.101,0.683,0.216
7936," Wow, thats quite the trip!",positive,0.6239,0.0,49.4,50.6,0.0,0.494,0.506
7937,last school day tomorrow! it was the funnest day ever. BUt also really sad  Righ ow I`m getting ready to go to Moab with Phil!!!,positive,0.3135,13.700000000000001,65.8,20.5,0.137,0.658,0.205
7938,i wish i was going to be with my ST girls tomorrow,positive,0.4019,0.0,80.30000000000001,19.7,0.0,0.803,0.197
7939,Found out I have to go to the US again in August. Getting tired of transatlantic flights. Not good for my carbon footprint either,negative,-0.6492,19.400000000000002,80.60000000000001,0.0,0.194,0.806,0.0
7940," Hey, that link didn`t work for me",neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7941,"Oh PW, you done me wrong. The signing time in ur children`s article are all wrong...and no Neil Gaiman?! You tease me.  #bea",negative,-0.784,28.299999999999997,71.7,0.0,0.283,0.717,0.0
7942, i know! that`s why i recommend it,positive,0.4199,0.0,68.2,31.8,0.0,0.682,0.318
7943,Sad that the Statue of Liberty will completely reopen 2 weeks after our NYC trip.,positive,0.0772,15.9,66.7,17.4,0.159,0.667,0.174
7944,Awww I wonder when ima get married. Shawna and Damon are so cute,positive,0.5949,0.0,75.6,24.4,0.0,0.756,0.244
7945,"fourteen hours later, i`m still having the worst allergy flare-up in my life from shooting an engagement session in a field last night...",negative,-0.2732,14.6,74.7,10.7,0.146,0.747,0.107
7946, I can`t DM you because you aren`t following me,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7947, nothing yet  still looking....but lets for sure do lunch next week!!,positive,0.4374,0.0,77.60000000000001,22.400000000000002,0.0,0.776,0.224
7948,I do the same thing to my parents and my best friend too,positive,0.8126,0.0,59.8,40.2,0.0,0.598,0.402
7949," You saw that fraktastic zoidberg painting that was tweeted around last week or so, didn`t you?",neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7950," Thanks! I downloaded the trial version of Stuffit, and it worked. Good advice.",positive,0.7263,0.0,64.4,35.6,0.0,0.644,0.356
7951,() Note to self: never ever leave the MacBook Pro on the stupid iCurve. It fell off.,negative,-0.5027,17.4,76.7,5.8999999999999995,0.174,0.767,0.059
7952, IÃ¯Â¿Â½m sorry for that,negative,-0.0772,30.2,69.8,0.0,0.302,0.698,0.0
7953,OOUCHHHH I just pinched my own **** by accident trying to fix my top,negative,-0.3182,18.3,71.0,10.7,0.183,0.71,0.107
7954," If you keep trying, you`ll get it right the last time.",neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7955," hey! negative on the primatech, this handle`s been on the tubes for a decade longer than heroes has",negative,-0.1759,17.1,68.7,14.2,0.171,0.687,0.142
7956,just finished dinner - it was yummy,positive,0.5267,0.0,63.800000000000004,36.199999999999996,0.0,0.638,0.362
7957,Feeling deflated. Hubby saw swing set & thinks is a piece of junk. I thought I had found something good 4 the kids,positive,0.5267,0.0,82.69999999999999,17.299999999999997,0.0,0.827,0.173
7958," please dont change anything in your site. I love it.. will always love it even if.. so, please? pretty please?",positive,0.9575,0.0,42.6,57.4,0.0,0.426,0.574
7959,blast from the ****`ing past. NTS why must you suck so badly at school?,negative,-0.784,36.5,63.5,0.0,0.365,0.635,0.0
7960,off to get ready for school. have an absolute wonderful day!,positive,0.7574,0.0,58.099999999999994,41.9,0.0,0.581,0.419
7961, pffffffffff... it`s not a 100% triumph cuz u gone napping  LMAO!!,positive,0.5666,15.2,53.7,31.1,0.152,0.537,0.311
7962, - I produce/direct/film/edit... I write... I coordinate events... I manage Don Fetti... there ain`t much I don`t do!,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7963,you ever come across something that reminds you alot of the one person that completely broke your heart? cause i just did,positive,0.3336,11.200000000000001,72.6,16.2,0.112,0.726,0.162
7964,Just got done watching Bedtime Stories! Love that movie!,positive,0.6988,0.0,62.6,37.4,0.0,0.626,0.374
7965, Oh noooooo!!!      I`m so sorry!!  That sucks hard!,negative,-0.7247,58.599999999999994,41.4,0.0,0.586,0.414,0.0
7966,"Listening to the commentary track on Holiday Inn. Never thought I`d see Bing Crosby in black face, but the rest of the movie was cute",positive,0.705,0.0,79.7,20.3,0.0,0.797,0.203
7967,Worried about friend,positive,0.25,34.4,15.6,50.0,0.344,0.156,0.5
7968,It are mimi time,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7969,Send me your Blog`s RSS feeds I have a site that will republish and send traffic to your site...,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7970, My Dad told me music that has the power to heal the soul. Sure is true of yours,positive,0.6249,0.0,75.8,24.2,0.0,0.758,0.242
7971, Yes so did I  Some of the Acts are really very cringe worthy! Though I do find it very entertaining.,positive,0.8634,0.0,63.800000000000004,36.199999999999996,0.0,0.638,0.362
7972,Driving to work running late like always..... No time for starbucks,positive,0.0772,16.1,65.7,18.2,0.161,0.657,0.182
7973, don`t you agree?,positive,0.3612,0.0,44.4,55.60000000000001,0.0,0.444,0.556
7974,Rain. One more reason to stay snuggled beneath the duvet,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7975,Found out that a schoolmate died of an heart attack this morning. He was barely 35  will miss u bally!,negative,-0.4816,29.2,56.10000000000001,14.7,0.292,0.561,0.147
7976, I just added a butt to your name in my phone after I made you go home in the cold. Because I love you!,positive,0.6696,0.0,83.7,16.3,0.0,0.837,0.163
7977,"Schools out, but works in",neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7978,"So sorry if i`ve been typing wrongly. usually, after i`ve typed something, i wont read. i`ll just press the `enter` button",negative,-0.1513,7.3999999999999995,92.60000000000001,0.0,0.074,0.926,0.0
7979,Fender is hiding under the couch ... he knows I`m getting ready to leave and he isn`t happy about it,positive,0.5859,13.3,62.5,24.2,0.133,0.625,0.242
7980,_Shawn when do you go back home? Want to see ya B4 u leave Homie,neutral,0.0258,7.7,83.89999999999999,8.4,0.077,0.839,0.084
7981,"seriously my parents are non stop  minniapolis, newport for a week, and now this weekend in San Diego  i miss them ",negative,-0.5423,23.400000000000002,76.6,0.0,0.234,0.766,0.0
7982,_d awww glad to know Little Sweet D and Leigh are doing good...thanks for the updates Howie,positive,0.6915,0.0,72.39999999999999,27.6,0.0,0.724,0.276
7983,_sims do you know of any inside scoop on a station that`s anything what kwod was? there`s nothing for us now,positive,0.1531,0.0,92.60000000000001,7.3999999999999995,0.0,0.926,0.074
7984, You right...we are 'arguing' about nothing...I thought it was healthy conversation,negative,-0.0772,20.4,61.199999999999996,18.4,0.204,0.612,0.184
7985,", i missed everyone tonight",negative,-0.296,35.5,64.5,0.0,0.355,0.645,0.0
7986," Yeah, but you`ve got admire someone who takes job satisfaction to the Nth degree",positive,0.8625,0.0,53.400000000000006,46.6,0.0,0.534,0.466
7987,"sigh.. stayed up late cause was on a role w/ assessment, now I`m so tired my eyes r stinging & my head hurts.. & I still need 500 words",negative,-0.7745,20.200000000000003,76.6,3.2,0.202,0.766,0.032
7988,_whacker skypeeeeee,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
7989,After work....Hillcats game!   .25 cent hot dogs haha,positive,0.5093,0.0,68.0,32.0,0.0,0.68,0.32
7990," I still have plenty of food left here! Thanks for coming over, I can`t wait to see how the pictures came out",positive,0.4926,0.0,86.8,13.200000000000001,0.0,0.868,0.132
7991," but i like the idea going to cinema, but monday....",positive,0.5023,0.0,73.5,26.5,0.0,0.735,0.265
7992,I don`t like my dress,positive,0.3612,0.0,61.5,38.5,0.0,0.615,0.385
7993,Im not happy,negative,-0.4585,60.0,40.0,0.0,0.6,0.4,0.0
7994,Is gonna go for a shower  goin to see hannah Montana laterz woo well excited,positive,0.765,0.0,61.199999999999996,38.800000000000004,0.0,0.612,0.388
7995,with thee ladies getting retarded,negative,-0.5719,48.1,51.9,0.0,0.481,0.519,0.0
7996,wow i must have been tired. i fell asleep @ exactly the start of the 10pm news & now up as if its 8am.,positive,0.2263,10.100000000000001,76.7,13.200000000000001,0.101,0.767,0.132
7997,I`m at the anime store iat rivercenter going crazy at all the Pokemon stuff. I wish I had money,positive,0.0772,10.9,76.9,12.2,0.109,0.769,0.122
7998,Taking a nap after work=no sleep right now. The nap felt soooo good but now it seems like a bad idea,negative,-0.1406,17.0,64.4,18.6,0.17,0.644,0.186
7999,Happy mothrs day 2 ; all thaa moms outt thr  *,positive,0.5719,0.0,73.0,27.0,0.0,0.73,0.27
8000,_jayy It might hav to cost u a History essay.,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
8001,YAY! My temperature went down!  I can have dinner with the family tonight.,positive,0.6924,0.0,71.8,28.199999999999996,0.0,0.718,0.282
8002,had a great night with friends,positive,0.802,0.0,35.699999999999996,64.3,0.0,0.357,0.643
8003,my legs are soft  watching a move with my mommm short day @ workk,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
8004,Happy Mother`s Day to all Mums on Twitter,positive,0.5719,0.0,65.4,34.599999999999994,0.0,0.654,0.346
8005,"Well poop, my guitar lesson was canceled today  I`m so sad. I hope his son feels better soon tho.",positive,0.4892,14.7,55.2,30.099999999999998,0.147,0.552,0.301
8006,I miss my friends so much,positive,0.3612,18.4,46.0,35.6,0.184,0.46,0.356
8007,"i changed my picture  i am soo screwed, i have an assignment due tomorrow that i havent started, i just cant concentrate argh",negative,-0.4939,12.7,87.3,0.0,0.127,0.873,0.0
8008," Here we are!  Unofficially, of course, but we are providing all the info you could want for the Geelong Football Club!",positive,0.2579,0.0,90.8,9.2,0.0,0.908,0.092
8009," just had a look - missed out by a couple of hours, i`m sorry. i`ll let you know next time..",negative,-0.3612,16.3,83.7,0.0,0.163,0.837,0.0
8010, it was days yesterday and probably today that I wish I had taken the top off my jeep.  I need help haha. IT`S FRICKEN HOT,positive,0.8481,0.0,67.30000000000001,32.7,0.0,0.673,0.327
8011,no school today gd  but dont get to see mates n millsy x,negative,-0.1531,11.799999999999999,88.2,0.0,0.118,0.882,0.0
8012, I didn`t headbutt anyone! Not that I know about anyway! ;) You ok today?  Football today?,positive,0.6179,0.0,73.5,26.5,0.0,0.735,0.265
8013, just relax like it is or translated to swedish too? Just got to take a look at my next comment,positive,0.6597,0.0,76.9,23.1,0.0,0.769,0.231
8014,Just got Back from the Gym Wanna chat with some new people  Lets talk! haha,positive,0.5093,0.0,81.0,19.0,0.0,0.81,0.19
8015,"I want to go shopping tomorrow, but I have to work  Buy me things, you know you want to!",positive,0.2244,0.0,85.5,14.499999999999998,0.0,0.855,0.145
8016, I like the last part in your methodology.,positive,0.3612,0.0,73.7,26.3,0.0,0.737,0.263
8017,Back from mountains,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
8018,the last time pankraz. why do they have to got the same name ?!?!,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
8019,hahaha yay emily i m cool  ,positive,0.8519,0.0,24.4,75.6,0.0,0.244,0.756
8020,14 days until Boyzone,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
8021,p.s.  thought you were gonna follow me back on twit-har ?,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
8022, I envy everyone on AOTS...,negative,-0.2732,34.4,65.60000000000001,0.0,0.344,0.656,0.0
8023,_Hayward go two way mirrors,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
8024," MANDY!!!  IT WON`T LET ME VOTE  I WANT HER TO WIN BUT I CAN`T HELP, I AM GONNA JUMP OFF A BRIDGE (KIDDING) BUT THIS SUX",positive,0.6515,9.6,62.1,28.299999999999997,0.096,0.621,0.283
8025,studying with  and colette!,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
8026,wants to wish all the moms out there (and moms-to-be) a very happy Mother`s Day!,positive,0.7897,0.0,65.0,35.0,0.0,0.65,0.35
8027, it`s ok lol  I think we might do the same dates.,positive,0.6124,0.0,64.3,35.699999999999996,0.0,0.643,0.357
8028,Smiling!  These guys are!    Turn up your speakers and SMILE~life is good! http://www.imtiredonline.com/smile/,positive,0.7767,0.0,61.9,38.1,0.0,0.619,0.381
8029,"wants to move to QLD already, this cold weather is killing me",negative,-0.6597,28.599999999999998,71.39999999999999,0.0,0.286,0.714,0.0
8030,"_mcsupergirl ok, finished set u free, and i am sooooo mad rite now...it cant end like that, i dont want him to be the bad guy",negative,-0.6939,29.2,61.199999999999996,9.6,0.292,0.612,0.096
8031," ..ok brother...did you change your num and not give it to me, AGAIN??? smh..you no good dude",negative,-0.449,15.5,84.5,0.0,0.155,0.845,0.0
8032,_Claire its sunny here  I will send some over to you,positive,0.4215,0.0,78.10000000000001,21.9,0.0,0.781,0.219
8033,i think i need a drink,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
8034, I know. I was hoping to meet you tonite  & I just found out a few min ago that we have a mutual friend Cuong H.,positive,0.7184,0.0,80.0,20.0,0.0,0.8,0.2
8035,Bored to tears without my boys! They are at their dad`s for a week,negative,-0.5093,26.3,73.7,0.0,0.263,0.737,0.0
8036, you can use my alotment,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
8037,"there is never anything on tv, on sundays. CAN`T WAIT for america",neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
8038,i am Marina and i sware to God i`ll never again end up studying French till 2 o`clock at night EVER AGAIN...too much drama...sooo sleepy,positive,0.2732,0.0,92.0,8.0,0.0,0.92,0.08
8039," then how come I`m not uber successful?  I`m not making the same mistakes, I`m making entirely new ones!",negative,-0.7253,27.500000000000004,72.5,0.0,0.275,0.725,0.0
8040,changed my h/p number go online msn messenger to see,positive,0.0772,0.0,87.4,12.6,0.0,0.874,0.126
8041,it was actually so hot today ..the sun has got his hat on . every one has got a tan except me,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
8042," Thanks for the feedback. Surreal life, surreal oils",positive,0.4404,0.0,70.7,29.299999999999997,0.0,0.707,0.293
8043, well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,neutral,0.0356,7.5,84.39999999999999,8.1,0.075,0.844,0.081
8044, - thanks!  it`ll be great    ... and even better as soon as I get that wallet in my grubby little hands!  lol,positive,0.9186,0.0,58.099999999999994,41.9,0.0,0.581,0.419
8045," was on the list, i paid 5 to get in, but if your under 21,you cant go in and out, but it was gettin so hot, so we went outside",neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
8046,Well done doing blood work..its hot out again,positive,0.2732,0.0,76.9,23.1,0.0,0.769,0.231
8047,_peer you ll soon be back  just replace topify email in twitter settings and that s all,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
8048,mad traffic,negative,-0.4939,76.2,23.799999999999997,0.0,0.762,0.238,0.0
8049,"My nose is runny, my head is pounding, and teeth hurt like a ****. MAN. @-) I feel awful.  =((",negative,-0.5994,24.7,65.60000000000001,9.700000000000001,0.247,0.656,0.097
8050,International Version of Stand By Me http://tiny.cc/pAVYi PlayingforChange.com,neutral,0.0,0.0,100.0,0.0,0.0,1.0,0.0
8051, You live dat glamorous life.,positive,0.5106,0.0,54.800000000000004,45.2,0.0,0.548,0.452
8052,Rachael makes me want to cry,negative,-0.4215,36.9,47.599999999999994,15.5,0.369,0.476,0.155
